Sitename,x,y
1A1,29.29378,-29.59933
1B1,29.29078,-29.6003
1C1,29.29086,-29.60336
1D1,29.291,-29.60617
2A1,29.29375,-29.59161
2B1,29.29314,-29.58894
2C1,29.2928,-29.587
2D1,29.29611,-29.58728
3A1,29.31067,-29.60106
3B1,29.31278,-29.60308
3C1,29.31336,-29.60589
3D1,29.31636,-29.60528
4A1,29.32364,-29.60095
4B1,29.32628,-29.60175
4C1,29.32942,-29.60281
4D1,29.33256,-29.60311
5A1,29.38592,-29.61881
5B1,29.38889,-29.62019
5C1,29.39211,-29.62283
5D1,29.39567,-29.62336
6A1,29.44735,-29.64804
6B1,29.45114,-29.65014
6C1,29.44964,-29.6532
6D1,29.45386,-29.65097
7A1,29.98239,-30.05556
7B1,29.983,-30.05853
7C1,29.98161,-30.06094
7D1,29.98133,-30.05272
8A1,30.15216,-30.1835
8B1,30.14933,-30.18447
8C1,30.14617,-30.18486
8D1,30.14306,-30.18603
